09:26:03:051  INFO 13112 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : register RM success. client version:1.5.2, server version:1.5.2,channel:[id: 0x6ae717c6, L:/192.168.1.110:63375 - R:/211.81.240.39:8099]
09:26:03:053  INFO 13112 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : register success, cost 8 ms, version:1.5.2,role:RMROLE,channel:[id: 0x6ae717c6, L:/192.168.1.110:63375 - R:/211.81.240.39:8099]
09:26:03:245  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Success to connect a server [211.81.240.39:8848], connectionId = 1723080345402_10.20.100.165_63383
09:26:03:246  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Abandon prev connection, server is 211.81.240.39:8848, connectionId is 1723017999242_10.20.100.165_62856
09:26:03:246  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : Close current connection 1723017999242_10.20.100.165_62856
09:26:03:247  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Try to reconnect to a new server, server is  not appointed, will choose a random server.
09:26:03:247  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Notify disconnected event to listeners
09:26:03:249  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Notify connected event to listeners.
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [d34d1d59-1766-410e-ae42-bcbd4333b060] Success to connect a server [211.81.240.39:8848], connectionId = 1723080345478_10.20.100.165_51141
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Success to connect a server [211.81.240.39:8848], connectionId = 1723080345460_10.20.100.165_63379
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [d34d1d59-1766-410e-ae42-bcbd4333b060] Abandon prev connection, server is 211.81.240.39:8848, connectionId is 1723017991577_10.20.100.165_62700
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Abandon prev connection, server is 211.81.240.39:8848, connectionId is 1723017989066_10.20.100.165_62686
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : Close current connection 1723017991577_10.20.100.165_62700
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : Close current connection 1723017989066_10.20.100.165_62686
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
09:26:03:309  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Notify disconnected event to listeners
09:26:03:310  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Notify connected event to listeners.
09:26:03:310  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [d34d1d59-1766-410e-ae42-bcbd4333b060] Notify disconnected event to listeners
09:26:03:310  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [d34d1d59-1766-410e-ae42-bcbd4333b060] Notify connected event to listeners.
09:26:03:368  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Success to connect a server [211.81.240.39:8848], connectionId = 1723080345526_10.20.100.165_51147
09:26:03:368  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Abandon prev connection, server is 211.81.240.39:8848, connectionId is 1723080345402_10.20.100.165_63383
09:26:03:368  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : Close current connection 1723080345402_10.20.100.165_63383
09:26:03:370  INFO 13112 --- [nacos-grpc-client-executor-4829] c.a.n.c.remote.client.grpc.GrpcClient    : [1723080345402_10.20.100.165_63383]Ignore complete event,isRunning:true,isAbandon=true
09:26:03:371  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Notify disconnected event to listeners
09:26:03:371  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Notify connected event to listeners.
09:26:03:446  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Success to connect a server [211.81.240.39:8848], connectionId = 1723080345607_10.20.100.165_51148
09:26:03:446  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Abandon prev connection, server is 211.81.240.39:8848, connectionId is 1723080345460_10.20.100.165_63379
09:26:03:446  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : Close current connection 1723080345460_10.20.100.165_63379
09:26:03:447  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Notify disconnected event to listeners
09:26:03:448  INFO 13112 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [af702abc-abbc-40c4-863d-8ccc73ef6b4f_config-0] Notify connected event to listeners.
09:26:03:449  WARN 13112 --- [nacos-grpc-client-executor-4847] c.a.n.c.remote.client.grpc.GrpcClient    : [1723080345460_10.20.100.165_63379]Ignore error event,isRunning:true,isAbandon=true
09:26:04:349  INFO 13112 --- [nacos-grpc-client-executor-4833] com.alibaba.nacos.common.remote.client   : [d34d1d59-1766-410e-ae42-bcbd4333b060] Receive server push request, request = NotifySubscriberRequest, requestId = 581
09:26:04:350  INFO 13112 --- [nacos-grpc-client-executor-4833] com.alibaba.nacos.common.remote.client   : [d34d1d59-1766-410e-ae42-bcbd4333b060] Ack server push request, request = NotifySubscriberRequest, requestId = 581
09:26:06:159  INFO 13112 --- [timeoutChecker_1_1] i.s.c.r.netty.NettyClientChannelManager  : will connect to 211.81.240.39:8099
09:26:06:159  INFO 13112 --- [timeoutChecker_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : NettyPool create channel to transactionRole:TMROLE,address:211.81.240.39:8099,msg:< RegisterTMRequest{applicationId='item-service', transactionServiceGroup='hmall'} >
09:26:06:165  INFO 13112 --- [timeoutChecker_1_1] i.s.c.rpc.netty.TmNettyRemotingClient    : register TM success. client version:1.5.2, server version:1.5.2,channel:[id: 0x5e5ecffa, L:/192.168.1.110:51295 - R:/211.81.240.39:8099]
09:26:06:165  INFO 13112 --- [timeoutChecker_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : register success, cost 4 ms, version:1.5.2,role:TMROLE,channel:[id: 0x5e5ecffa, L:/192.168.1.110:51295 - R:/211.81.240.39:8099]
09:26:06:346  INFO 13112 --- [nacos-grpc-client-executor-4833] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Receive server push request, request = NotifySubscriberRequest, requestId = 587
09:26:06:347  INFO 13112 --- [nacos-grpc-client-executor-4833] com.alibaba.nacos.common.remote.client   : [4b2e46e8-fcfc-4f1f-a268-2624d485b8c3] Ack server push request, request = NotifySubscriberRequest, requestId = 587
09:58:35:778  WARN 13112 --- [Thread-5] c.a.nacos.common.notify.NotifyCenter     : [NotifyCenter] Start destroying Publisher
09:58:35:778  WARN 13112 --- [Thread-1] c.a.n.common.http.HttpClientBeanHolder   : [HttpClientBeanHolder] Start destroying common HttpClient
09:58:35:779  WARN 13112 --- [Thread-5] c.a.nacos.common.notify.NotifyCenter     : [NotifyCenter] Destruction of the end
09:58:35:779  WARN 13112 --- [Thread-1] c.a.n.common.http.HttpClientBeanHolder   : [HttpClientBeanHolder] Destruction of the end
09:58:35:998  INFO 13112 --- [SpringContextShutdownHook] c.a.c.n.registry.NacosServiceRegistry    : De-registering from Nacos Server now...
09:58:36:001  INFO 13112 --- [SpringContextShutdownHook] c.a.c.n.registry.NacosServiceRegistry    : De-registration finished.
09:58:36:320  INFO 13112 --- [SpringContextShutdownHook] com.alibaba.nacos.common.remote.client   : Shutdown rpc client, set status to shutdown
09:58:36:320  INFO 13112 --- [SpringContextShutdownHook] com.alibaba.nacos.common.remote.client   : Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@2421658c[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
09:58:36:320  INFO 13112 --- [SpringContextShutdownHook] com.alibaba.nacos.common.remote.client   : Close current connection 1723080345526_10.20.100.165_51147
09:58:36:320  INFO 13112 --- [SpringContextShutdownHook] c.a.n.c.remote.client.grpc.GrpcClient    : Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@228bb237[Running, pool size = 4, active threads = 0, queued tasks = 0, completed tasks = 5225]
09:58:36:327  INFO 13112 --- [SpringContextShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
09:58:36:350  INFO 13112 --- [SpringContextShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
09:58:36:351  INFO 13112 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0x5e5ecffa, L:/192.168.1.110:51295 ! R:/211.81.240.39:8099]
09:58:36:351  INFO 13112 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x5e5ecffa, L:/192.168.1.110:51295 ! R:/211.81.240.39:8099]
09:58:36:351  INFO 13112 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x5e5ecffa, L:/192.168.1.110:51295 ! R:/211.81.240.39:8099]
09:58:36:351  INFO 13112 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x5e5ecffa, L:/192.168.1.110:51295 ! R:/211.81.240.39:8099]
09:58:36:351  INFO 13112 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x5e5ecffa, L:/192.168.1.110:51295 ! R:/211.81.240.39:8099]) will closed
09:58:36:351  INFO 13112 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x5e5ecffa, L:/192.168.1.110:51295 ! R:/211.81.240.39:8099]) will closed
09:58:36:353  INFO 13112 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0x6ae717c6, L:/192.168.1.110:63375 ! R:/211.81.240.39:8099]
09:58:36:353  INFO 13112 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x6ae717c6, L:/192.168.1.110:63375 ! R:/211.81.240.39:8099]
09:58:36:353  INFO 13112 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x6ae717c6, L:/192.168.1.110:63375 ! R:/211.81.240.39:8099]
09:58:36:353  INFO 13112 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x6ae717c6, L:/192.168.1.110:63375 ! R:/211.81.240.39:8099]
09:58:36:353  INFO 13112 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x6ae717c6, L:/192.168.1.110:63375 ! R:/211.81.240.39:8099]) will closed
09:58:36:353  INFO 13112 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x6ae717c6, L:/192.168.1.110:63375 ! R:/211.81.240.39:8099]) will closed
